Name,Class,Country,Launch Year
Cachalot (Cachalot-class) ,Cachalot-class Submarine ,United States ,1933 
Cachalot (Grampus-class) ,Grampus-class Minelaying Submarine ,United Kingdom ,1937 
Caiman ,Balao-class Submarine ,United States ,1944 
Camicia Nera ,Soldati-class Destroyer ,Italy ,1937 
Canberra (Baltimore-class) ,Baltimore-class Heavy Cruiser ,United States ,1943 
Canfield ,Evarts-class Destroyer Escort ,United States ,1943 
Capitaine ,Balao-class Submarine ,United States ,1944 
Carabiniere ,Soldati-class Destroyer ,Italy ,1938 
Carbonero ,Balao-class Submarine ,United States ,1944 
Card ,Bogue-class Escort Carrier ,United States ,1942 
Carl Peters ,Carl Peters-class Tender ,Germany ,1939 
Carl Zeiss ,No Classification ,Germany ,1938 
Casabianca ,Redoubtable-class Submarine ,France ,1935 
Casablanca ,Casablanca-class Escort Carrier ,United States ,1943 
Cassin Young ,Fletcher-class Destroyer ,United States ,1943 
Centurion ,King George V (1911)-class Battleship ,United Kingdom ,1911 
Cero ,Gato-class Submarine ,United States ,1943 
Charles J. Badger ,Fletcher-class Destroyer ,United States ,1943 
Charr ,Balao-class Submarine ,United States ,1944 
Chester ,Northampton-class Heavy Cruiser ,United States ,1929 
Chicago ,Northampton-class Heavy Cruiser ,United States ,1930 
Chikuma ,Tone-class Heavy Cruiser ,Japan ,1938 
Chitose ,Chitose-class Light Carrier ,Japan ,1936 
Chiyoda ,Chitose-class Light Carrier ,Japan ,1936 
Chokai ,Takao-class Heavy Cruiser ,Japan ,1931 
Chub ,Balao-class Submarine ,United States ,1944 
Chuyo ,Taiyo-class Escort Carrier ,Japan ,1939 
Cisco ,Balao-class Submarine ,United States ,1942 
Cod ,Gato-class Submarine ,United States ,1943 
Colbert ,Suffren-class Heavy Cruiser ,France ,1928 
Colorado ,Colorado-class Battleship ,United States ,1921 
Colossus ,Colossus-class Light Carrier ,United Kingdom ,1943 
Columbia ,Cleveland-class Light Cruiser ,United States ,1941 
Concord ,Omaha-class Light Cruiser ,United States ,1921 
Console Generale Liuzzi ,Liuzzi-class Submarine ,Italy ,1939 
Conte di Cavour ,Conte di Cavour-class Battleship ,Italy ,1911 
Copahee ,Bogue-class Escort Carrier ,United States ,1941 
Corazziere ,Soldati-class Destroyer ,Italy ,1938 
Cornwall ,County-class Heavy Cruiser ,United Kingdom ,1926 
Coronel ,No Classification ,Germany ,1938 
Corregidor ,Casablanca-class Escort Carrier ,United States ,1943 
Corvina ,Gato-class Submarine ,United States ,1943 
Cossack ,Tribal-class Destroyer ,United Kingdom ,1937 
Cotten ,Fletcher-class Destroyer ,United States ,1943 
Cowpens ,Independence-class Light Carrier ,United States ,1943 
Craven ,Gridley-class Destroyer ,United States ,1937 
Croaker ,Gato-class Submarine ,United States ,1943 
Cumberland ,County-class Heavy Cruiser ,United Kingdom ,1926 
Cummings ,Mahan-class Destroyer ,United States ,1935 
Cuttlefish ,Cachalot-class Submarine ,United States ,1933 
D (Planned) ,Graf Zeppelin-class Aircraft Carrier ,Germany ,"1947 (Projected, not actual) "
Daly ,Fletcher-class Destroyer ,United States ,1942 
Danae ,Danae-class Light Cruiser ,United Kingdom ,1918 
De Grasse ,De Grasse-class Light Cruiser ,France ,1946 
Delhi ,Danae-class Light Cruiser ,United Kingdom ,1918 
Denver ,Cleveland-class Light Cruiser ,United States ,1942 
Detroit ,Omaha-class Light Cruiser ,United States ,1922 
Deutschland ,Deutschland-class Heavy Cruiser ,Germany ,1931 
Devonshire ,County-class Heavy Cruiser ,United Kingdom ,1927 
Dianthus ,Flower-class Corvette ,United Kingdom ,1940 
Dithmarschen ,Dithmarschen-class Auxiliary ,Germany ,1937 
Doherty ,Evarts-class Destroyer Escort ,United States ,1942 
Doneff ,Evarts-class Destroyer Escort ,United States ,1942 
Dorado ,Gato-class Submarine ,United States ,1943 
Dorsetshire ,County-class Heavy Cruiser ,United Kingdom ,1929 
Dragon ,Danae-class Light Cruiser ,United Kingdom ,1917 
Dragonet ,Balao-class Submarine ,United States ,1943 
Drayton ,Mahan-class Destroyer ,United States ,1936 
Drum ,Gato-class Submarine ,United States ,1941 
Duguay-Trouin ,Duguay-Trouin-class Light Cruiser ,France ,1923 
Dunkerque ,Dunkerque-class Battleship ,France ,1935 
Dupleix ,Suffren-class Heavy Cruiser ,France ,1930 
Duquesne ,Duquesne-class Heavy Cruiser ,France ,1925 
Eagle ,Eagle-class Aircraft Carrier ,United Kingdom ,1918 
Edinburgh ,Town-class Light Cruiser ,United Kingdom ,1938 
Effingham ,Hawkins-class Heavy Cruiser ,United Kingdom ,1921 
Ellet ,Benham-class Destroyer ,United States ,1938 
Elli ,Zhaohe-class Protected Cruiser ,Greece ,1913 
Emden ,Emden-class Light Cruiser ,Germany ,1925 
ƒ‰mile Bertin ,ƒ‰mile Bertin-class Light Cruiser ,France ,1933 
Engstrom ,Evarts-class Destroyer Escort ,United States ,1942 
Enterprise ,Yorktown-class Aircraft Carrier ,United States ,1936 
Erwin Wassner ,No Classification ,Germany ,1938 
Escolar ,Balao-class Submarine ,United States ,1943 
Essex ,Essex-class Aircraft Carrier ,United States ,1942 
Exeter ,York-class Heavy Cruiser ,United Kingdom ,1928 
Express ,E-class Destroyer ,United Kingdom ,1934 
F1 ,F-class Destroyer Escort ,Germany ,1935 
F10 ,F-class Destroyer Escort ,Germany ,1936 
F2 ,F-class Destroyer Escort ,Germany ,1935 
F3 ,F-class Destroyer Escort ,Germany ,1935 
F4 ,F-class Destroyer Escort ,Germany ,1935 
F5 ,F-class Destroyer Escort ,Germany ,1935 
F6 ,F-class Destroyer Escort ,Germany ,1935 
F7 ,F-class Destroyer Escort ,Germany ,1936 
F8 ,F-class Destroyer Escort ,Germany ,1936 
F9 ,F-class Destroyer Escort ,Germany ,1936 
Falke ,No Classification ,Germany ,1940 
Falke ,1923-class Motor Torpedo Boat ,Germany ,1926 
Farragut ,Farragut-class Destroyer ,United States ,1934 
Fieberling ,Buckley-class Destroyer Escort ,United States ,1944 
Finback ,Gato-class Submarine ,United States ,1941 
Flier ,Gato-class Submarine ,United States ,1943 
Flying Fish ,Gato-class Submarine ,United States ,1941 
Foch ,Suffren-class Heavy Cruiser ,France ,1929 
Formidable ,Illustrious-class Aircraft Carrier ,United Kingdom ,1939 
Fox ,Clemson-class Destroyer ,United States ,1919 
Franken ,Dithmarschen-class Auxiliary ,Germany ,1939 
Franklin ,Essex-class Aircraft Carrier ,United States ,1943 
Friesenland ,No Classification ,Germany ,1937 
Fuciliere ,Soldati-class Destroyer ,Italy ,1938 
Furious ,Courageous-class Aircraft Carrier ,United Kingdom ,1916 
Furutaka ,Furutaka-class Heavy Cruiser ,Japan ,1925 
Fuso ,Fuso-class Battleship ,Japan ,1914 
G ,No Classification ,Germany ,1939 
Gabilan ,Gato-class Submarine ,United States ,1943 
Gar ,Tambor-class Submarine ,United States ,1940 
Garland ,G-class Destroyer ,Poland ,1935 
Geniere ,Soldati-class Destroyer ,Italy ,1938 
Georges Leygues ,La Galissonniƒ¨re-class Light Cruiser ,France ,1936 
Gilmore ,Evarts-class Destroyer Escort ,United States ,1942 
Giulio Cesare ,Conte di Cavour-class Battleship ,Italy ,1911 
Glasgow ,Town-class Light Cruiser ,United Kingdom ,1936 
Gloire ,La Galissonniƒ¨re-class Light Cruiser ,France ,1935 
Glorious ,Courageous-class Aircraft Carrier ,United Kingdom ,1916 
Glory ,Colossus-class Light Carrier ,United Kingdom ,1943 
Gneisenau ,Gneisenau-class Battlecruiser ,Germany ,1936 
Golet ,Gato-class Submarine ,United States ,1943 
Gorch Fock ,Gorch Fock-class Barque ,Germany ,1933 
Gorizia ,Zara-class Heavy Cruiser ,Italy ,1930 
Graf Zeppelin ,Graf Zeppelin-class Aircraft Carrier ,Germany ,1938 
Grampus ,Tambor-class Submarine ,United States ,1940 
Granatiere ,Soldati-class Destroyer ,Italy ,1938 
Grayback ,Tambor-class Submarine ,United States ,1941 
Grayson ,Gleaves-class Destroyer ,United States ,1940 
Greif ,1923-class Motor Torpedo Boat ,Germany ,1926 
Gridley ,Gridley-class Destroyer ,United States ,1936 
Grille ,No Classification ,Germany ,1934 
Grom ,Grom-class Destroyer ,Poland ,1936 
Growler ,Gato-class Submarine ,United States ,1941 
Grunion ,Gato-class Submarine ,United States ,1941 
Guam ,Alaska-class Large Cruiser ,United States ,1943 
Guavina ,Balao-class Submarine ,United States ,1943 
Guitarro ,Gato-class Submarine ,United States ,1943 
Gulland ,Isles-class Trawler ,United Kingdom ,1943 
Gunnel ,Gato-class Submarine ,United States ,1942 
H (Planned) ,H-class Battleship ,Germany ,"1941 (Projected, not actual) "
Ha-101 ,Type SS-class Submarine ,Japan ,1944 
Ha-102 ,Type SS-class Submarine ,Japan ,1944 
Ha-104 ,Type SS-class Submarine ,Japan ,1944 
Hackleback ,Balao-class Submarine ,United States ,1943 
Haddock ,Gato-class Submarine ,United States ,1941 
Haguro ,Myoko-class Heavy Cruiser ,Japan ,1928 
Haichou ,Hairong-class Protected Cruiser ,China ,1897 
Hairong ,Hairong-class Protected Cruiser ,China ,1897 
Hakusan Maru ,No Classification ,Japan ,1918 
Hamilton ,Wickes-class Destroyer ,United States ,1919 
Hammann ,Sims-class Destroyer ,United States ,1939 
Hammerhead ,Balao-class Submarine ,United States ,1943 
Hancock ,Essex-class Aircraft Carrier ,United States ,1944 
Hans Albrecht Wedel ,Hans Albrecht Wedel-class Seaplane Tender ,Germany ,1940 
Harder ,Gato-class Submarine ,United States ,1942 
Haruna ,Kongo-class Battleship ,Japan ,1913 
Hawkbill ,Balao-class Submarine ,United States ,1944 
Hela ,Hela-class Tender ,Germany ,1938 
Helena (St. Louis-class) ,St. Louis-class Light Cruiser ,United States ,1939 
Helm ,Bagley-class Destroyer ,United States ,1937 
Henley ,Bagley-class Destroyer ,United States ,1937 
Herbert Norkus ,Gorch Fock-class Barque ,Germany ,1939 
Hermes ,Hermes-class Light Carrier ,United Kingdom ,1919 
Hiei ,Kongo-class Battleship ,Japan ,1912 
Hikawa Maru ,No Classification ,Japan ,1929 
Hiryu ,Soryu-class Aircraft Carrier ,Japan ,1937 
Hiyo ,Hiyo-class Escort Carrier ,Japan ,1941 
Hoe ,Gato-class Submarine ,United States ,1942 
Hoel ,Fletcher-class Destroyer ,United States ,1942 
Holland ,Holland-class Submarine Tender ,United States ,1926 
Hood ,Admiral-class Battlecruiser ,United Kingdom ,1918 
Hornet (Essex-class) ,Essex-class Aircraft Carrier ,United States ,1943 
Hornet (Yorktown-class) ,Yorktown-class Aircraft Carrier ,United States ,1940 
Horst Wessel ,Gorch Fock-class Barque ,Germany ,1936 
Hosho ,Hosho-class Light Carrier ,Japan ,1921 
Houston ,Northampton-class Heavy Cruiser ,United States ,1929 
Howe ,King George V (1939)-class Battleship ,United Kingdom ,1940 
Hulbert ,Clemson-class Destroyer ,United States ,1919 
Hull ,Farragut-class Destroyer ,United States ,1934 
Hyuga ,Ise-class Battleship ,Japan ,1917 
I-14 ,Type AM-class Submarine ,Japan ,1944 
I-369 ,Type D1-class Submarine ,Japan ,1944 
I-58 ,Type B3-class Submarine ,Japan ,1943 
I-58 / I-158 ,Kaidai-class Submarine ,Japan ,1925 
I-68 / I-168 ,Kaidai-class Submarine ,Japan ,1934 
Ibuki ,Ibuki-class Light Carrier ,Japan ,1943 
Ikazuchi ,Akatsuki-class Destroyer ,Japan ,1932 
Illustrious ,Illustrious-class Aircraft Carrier ,United Kingdom ,1939 
Ilmarinen ,Vƒ¤inƒ¤mƒ¶inen-class Coastal Defense Ship ,Finland ,1931 
Iltis ,1924-class Motor Torpedo Boat ,Germany ,1927 
Impero ,Vittorio Veneto-class Battleship ,Italy ,1939 
Independence ,Independence-class Light Carrier ,United States ,1942 
Indiana ,South Dakota-class Battleship ,United States ,1941 
Indianapolis ,Portland-class Heavy Cruiser ,United States ,1931 
Indomitable ,Illustrious-class Aircraft Carrier ,United Kingdom ,1940 
Intrepid ,Essex-class Aircraft Carrier ,United States ,1943 
Iowa ,Iowa-class Battleship ,United States ,1942 
Irako ,No Classification ,Japan ,1941 
Iride ,Perla-class Submarine ,Italy ,1936 
Irwin ,Fletcher-class Destroyer ,United States ,1943 
Isaac Sweers ,Gerard Callenburgh-class Destroyer ,Netherlands ,1940 
Ise ,Ise-class Battleship ,Japan ,1916 
Isherwood ,Fletcher-class Destroyer ,United States ,1942 
Isuzu ,Nagara-class Light Cruiser ,Japan ,1921 
Itsukushima ,No Classification ,Japan ,1929 
Iwate ,Izumo-class Armored Cruiser ,Japan ,1900 
Izumo ,Izumo-class Armored Cruiser ,Japan ,1898 
J (Planned) ,H-class Battleship ,Germany ,"1941 (Projected, not actual) "
Jaguar ,1924-class Motor Torpedo Boat ,Germany ,1928 
Jean Bart ,Richelieu-class Battleship ,France ,1940 
Jean de Vienne ,La Galissonniƒ¨re-class Light Cruiser ,France ,1935 
Jintsu ,Sendai-class Light Cruiser ,Japan ,1923 
Johnston ,Fletcher-class Destroyer ,United States ,1943 
Juneau ,Atlanta-class Light Cruiser ,United States ,1941 
Junyo ,Hiyo-class Escort Carrier ,Japan ,1941 
K (Planned) ,H-class Battleship ,Germany ,"1942 (Projected, not actual) "
K1 (Planned) ,K1-class Gunboat ,Germany ,"1941 (Projected, not actual) "
K2 (Planned) ,K1-class Gunboat ,Germany ,"1941 (Projected, not actual) "
K3 (Planned) ,K1-class Gunboat ,Germany ,"1941 (Projected, not actual) "
K4 (Planned) ,K1-class Gunboat ,Germany ,"1941 (Projected, not actual) "
Kaga ,Kaga-class Aircraft Carrier ,Japan ,1921 
Kaganovich ,Kirov-class Light Cruiser ,Russia ,1944 
Kaiyo ,Kaiyo-class Escort Carrier ,Japan ,1938 
Kako ,Furutaka-class Heavy Cruiser ,Japan ,1925 
Kalinin ,Kirov-class Light Cruiser ,Russia ,1942 
Kamikaze ,Kamikaze-class Destroyer ,Japan ,1922 
Kamoi ,Kamoi-class Seaplane Tender ,Japan ,1922 
Karlsruhe ,K-class Light Cruiser ,Germany ,1927 
Kashi ,Momo-class Destroyer ,Japan ,1916 
Kashii ,Katori-class Light Cruiser ,Japan ,1941 
Kashima ,Katori-class Light Cruiser ,Japan ,1939 
Kasuga ,Kasuga-class Armored Cruiser ,Japan ,1902 
Katori ,Katori-class Light Cruiser ,Japan ,1939 
Katsuragi ,Unryu-class Aircraft Carrier ,Japan ,1943 
Kelly ,K-class Destroyer ,United Kingdom ,1938 
Kete ,Balao-class Submarine ,United States ,1944 
Kikuzuki ,Mutsuki-class Destroyer ,Japan ,1926 
Kimberly ,Fletcher-class Destroyer ,United States ,1943 
King George V ,King George V (1939)-class Battleship ,United Kingdom ,1939 
Kinu ,Nagara-class Light Cruiser ,Japan ,1922 
Kinugasa ,Furutaka-class Heavy Cruiser ,Japan ,1926 
Kirishima ,Kongo-class Battleship ,Japan ,1913 
Kirov ,Kirov-class Light Cruiser ,Russia ,1936 
Kiso ,Kuma-class Light Cruiser ,Japan ,1920 
Kitakami ,Kuma-class Light Cruiser ,Japan ,1920 
Kitty Hawk ,Kitty Hawk-class Merchant Vessel ,United States ,1932 
Komet ,No Classification ,Germany ,1936 
Kondor ,1923-class Motor Torpedo Boat ,Germany ,1926 
Kongo ,Kongo-class Battleship ,Japan ,1913 
Kormoran ,No Classification ,Germany ,1938 
Kuma ,Kuma-class Light Cruiser ,Japan ,1919 
Kumano ,Mogami-class Heavy Cruiser ,Japan ,1936 
Kyne ,Cannon-class Destroyer Escort ,United States ,1943 
Kƒ¶ln ,K-class Light Cruiser ,Germany ,1928 
Kƒ¶nigsberg ,K-class Light Cruiser ,Germany ,1927 
L (Planned) ,H-class Battleship ,Germany ,"1940 (Projected, not actual) "
La Motte-Picquet ,Duguay-Trouin-class Light Cruiser ,France ,1924 
Laffey (Allen M. Sumner-class) ,Allen M. Sumner-class Destroyer ,United States ,1943 
Laffey (Benson-class) ,Benson-class Destroyer ,United States ,1941 
Langley (Independence-class) ,Independence-class Light Carrier ,United States ,1943 
Lansdowne ,Gleaves-class Destroyer ,United States ,1942 
Lardner ,Gleaves-class Destroyer ,United States ,1942 
Lawrence ,Clemson-class Destroyer ,United States ,1920 
Leipzig ,Leipzig-class Light Cruiser ,Germany ,1929 
Lemnos ,Mississippi-class Battleship ,Greece ,1905 
Leopard ,1924-class Motor Torpedo Boat ,Germany ,1928 
Leutze ,Fletcher-class Destroyer ,United States ,1942 
Lexington (Essex-class) ,Essex-class Aircraft Carrier ,United States ,1942 
Lexington (Lexington-class) ,Lexington-class Aircraft Carrier ,United States ,1925 
Ling ,Balao-class Submarine ,United States ,1943 
Littorio ,Vittorio Veneto-class Battleship ,Italy ,1937 
London ,County-class Heavy Cruiser ,United Kingdom ,1927 
Long Island ,Long Island-class Escort Carrier ,United States ,1940 
Lorraine ,Bretagne-class Battleship ,France ,1913 
Louisville ,Northampton-class Heavy Cruiser ,United States ,1930 
LST-1 ,LST-class Landing Ship ,United States ,1942 
LST-412 ,LST-class Landing Ship ,United Kingdom ,1942 
Luce ,Fletcher-class Destroyer ,United States ,1943 
Luchs ,1924-class Motor Torpedo Boat ,Germany ,1928 
Lƒtzow ,Admiral Hipper-class Heavy Cruiser ,Germany ,1939 
M (Planned) ,H-class Battleship ,Germany ,"1942 (Projected, not actual) "
M (Planned) ,M-class Light Cruiser ,Germany ,"1941 (Projected, not actual) "
M (Planned) ,M-class Light Cruiser ,Germany ,"1945 (Projected, not actual) "
M1 ,M-class Minesweeper ,Germany ,1937 
M10 ,M-class Minesweeper ,Germany ,1938 
M101 ,M-class Minesweeper ,Germany ,1941 
M102 ,M-class Minesweeper ,Germany ,1941 
M103 ,M-class Minesweeper ,Germany ,1941 
M104 ,M-class Minesweeper ,Germany ,1942 
M107 ,M-class Minesweeper ,Germany ,1918 
M11 ,M-class Minesweeper ,Germany ,1938 
M12 ,M-class Minesweeper ,Germany ,1938 
M13 ,M-class Minesweeper ,Germany ,1939 
M14 ,M-class Minesweeper ,Germany ,1939 
M15 ,M-class Minesweeper ,Germany ,1939 
M16 ,M-class Minesweeper ,Germany ,1939 
M17 ,M-class Minesweeper ,Germany ,1939 
M18 ,M-class Minesweeper ,Germany ,1939 
M19 ,M-class Minesweeper ,Germany ,1939 
M2 (Planned) ,M2-class Light Cruiser ,Germany ,"1947 (Projected, not actual) "
M2 ,M-class Minesweeper ,Germany ,1937 
M20 ,M-class Minesweeper ,Germany ,1939 
M201 ,M-class Minesweeper ,Germany ,1940 
M202 ,M-class Minesweeper ,Germany ,1940 
M203 ,M-class Minesweeper ,Germany ,1940 
M204 ,M-class Minesweeper ,Germany ,1940 
M205 ,M-class Minesweeper ,Germany ,1941 
M206 ,M-class Minesweeper ,Germany ,1941 
M21 ,M-class Minesweeper ,Germany ,1939 
M22 ,M-class Minesweeper ,Germany ,1940 
M23 ,M-class Minesweeper ,Germany ,1940 
M24 ,M-class Minesweeper ,Germany ,1940 
M25 ,M-class Minesweeper ,Germany ,1940 
M251 ,M-class Minesweeper ,Germany ,1940 
M252 ,M-class Minesweeper ,Germany ,1940 
M253 ,M-class Minesweeper ,Germany ,1940 
M254 ,M-class Minesweeper ,Germany ,1941 
M255 ,M-class Minesweeper ,Germany ,1941 
M256 ,M-class Minesweeper ,Germany ,1941 
M26 ,M-class Minesweeper ,Germany ,1940 
M261 ,M-class Minesweeper ,Germany ,1942 
M262 ,M-class Minesweeper ,Germany ,1942 
M263 ,M-class Minesweeper ,Germany ,1942 
M265 ,M-class Minesweeper ,Germany ,1943 
M266 ,M-class Minesweeper ,Germany ,1944 
M267 ,M-class Minesweeper ,Germany ,1944 
M27 ,M-class Minesweeper ,Germany ,1940 
M271 ,M-class Minesweeper ,Germany ,1942 
M272 ,M-class Minesweeper ,Germany ,1942 
M273 ,M-class Minesweeper ,Germany ,1942 
M274 ,M-class Minesweeper ,Germany ,1942 
M275 ,M-class Minesweeper ,Germany ,1943 
M276 ,M-class Minesweeper ,Germany ,1943 
M277 ,M-class Minesweeper ,Germany ,1943 
M278 ,M-class Minesweeper ,Germany ,1944 
M279 ,M-class Minesweeper ,Germany ,1944 
M28 ,M-class Minesweeper ,Germany ,1940 
M29 ,M-class Minesweeper ,Germany ,1940 
M3 ,M-class Minesweeper ,Germany ,1937 
M30 ,M-class Minesweeper ,Germany ,1940 
M31 ,M-class Minesweeper ,Germany ,1940 
M32 ,M-class Minesweeper ,Germany ,1940 
M321 ,M-class Minesweeper ,Germany ,1941 
M322 ,M-class Minesweeper ,Germany ,1941 
M323 ,M-class Minesweeper ,Germany ,1941 
M324 ,M-class Minesweeper ,Germany ,1941 
M325 ,M-class Minesweeper ,Germany ,1942 
M326 ,M-class Minesweeper ,Germany ,1943 
M327 ,M-class Minesweeper ,Germany ,1943 
M328 ,M-class Minesweeper ,Germany ,1943 
M33 ,M-class Minesweeper ,Germany ,1942 
M34 ,M-class Minesweeper ,Germany ,1942 
M341 ,M-class Minesweeper ,Germany ,1941 
M342 ,M-class Minesweeper ,Germany ,1941 
M343 ,M-class Minesweeper ,Germany ,1941 
M344 ,M-class Minesweeper ,Germany ,1941 
M345 ,M-class Minesweeper ,Germany ,1942 
M346 ,M-class Minesweeper ,Germany ,1942 
M347 ,M-class Minesweeper ,Germany ,1942 
M348 ,M-class Minesweeper ,Germany ,1942 
M35 ,M-class Minesweeper ,Germany ,1940 
M36 ,M-class Minesweeper ,Germany ,1940 
M37 ,M-class Minesweeper ,Germany ,1940 
M38 ,M-class Minesweeper ,Germany ,1941 
M39 ,M-class Minesweeper ,Germany ,1941 
M4 ,M-class Minesweeper ,Germany ,1937 
M5 ,M-class Minesweeper ,Germany ,1937 
M6 ,M-class Minesweeper ,Germany ,1938 
M7 ,M-class Minesweeper ,Germany ,1937 
M8 ,M-class Minesweeper ,Germany ,1937 
M81 ,M-class Minesweeper ,Germany ,1940 
M82 ,M-class Minesweeper ,Germany ,1941 
M83 ,M-class Minesweeper ,Germany ,1941 
M84 ,M-class Minesweeper ,Germany ,1941 
M85 ,M-class Minesweeper ,Germany ,1941 
M9 ,M-class Minesweeper ,Germany ,1937 
Mahan ,Mahan-class Destroyer ,United States ,1935 
Makin Island ,Casablanca-class Escort Carrier ,United States ,1944 
Malaya ,Queen Elizabeth-class Battleship ,United Kingdom ,1915 
Manila Bay ,Casablanca-class Escort Carrier ,United States ,1943 
Manta ,Balao-class Submarine ,United States ,1943 
Marblehead ,Omaha-class Light Cruiser ,United States ,1923 
Marcus Island ,Casablanca-class Escort Carrier ,United States ,1943 
Marlin ,Mackerel-class Submarine ,United States ,1941 
Marseillaise ,La Galissonniƒ¨re-class Light Cruiser ,France ,1935 
Maryland ,Colorado-class Battleship ,United States ,1920 
Mason ,Evarts-class Destroyer Escort ,United States ,1943 
Massachusetts ,South Dakota-class Battleship ,United States ,1941 
Matsu ,Matsu-class Destroyer ,Japan ,1944 
